# Time-averaged data for fix ave_time_3
# TimeStep c_carbon_middle_temp
120200 297.032
120300 302.32
120400 300.745
120500 301.119
120600 299.378
120700 300.284
120800 299.842
120900 301.507
121000 296.974
121100 301.993
121200 300.27
121300 298.694
121400 300.139
121500 299.774
121600 300.197
121700 298.889
121800 299.829
121900 298.076
122000 302.062
122100 299.627
122200 298.597
122300 299.892
122400 302.167
122500 297.152
122600 300.77
122700 301.877
122800 301.615
122900 301.355
123000 311.02
123100 310.688
123200 306.637
123300 330.829
123400 325.58
123500 324.06
123600 318.326
123700 315.344
123800 312.732
123900 307.703
124000 307.451
124100 307.494
124200 300.626
124300 304.455
124400 304.371
124500 303.326
124600 302.798
124700 303.681
124800 299.516
124900 302.505
125000 302.811
125100 299.757
125200 300.906
125300 299.408
125400 301.179
125500 301.544
125600 300.851
125700 297.454
125800 301.222
125900 299.845
126000 300.857
126100 299.533
126200 301.555
126300 299.016
126400 295.945
126500 303.934
126600 296.242
126700 300.942
126800 302.686
126900 298.962
127000 299.987
127100 299.848
127200 301.015
127300 300.407
127400 297.78
127500 304.431
127600 300.029
127700 302.61
127800 297.771
127900 299.754
128000 300.623
128100 297.921
128200 300.804
128300 300.832
128400 298.307
128500 301.244
128600 296.943
128700 303.125
128800 298.031
128900 299.335
129000 298.83
129100 299.068
129200 303.517
129300 299.628
129400 301.531
129500 300.479
129600 300.265
129700 299.424
129800 300.059
129900 299.874
130000 299.78
130100 297.54
130200 301.964
130300 301.199
130400 300.977
130500 301.754
130600 301.062
130700 300.471
130800 302.126
130900 300.226
131000 301.143
131100 298.886
131200 299.562
131300 298.667
131400 300.431
131500 302.939
131600 298.379
131700 300.277
131800 301.641
131900 301.064
132000 300.088
132100 297.022
132200 300.567
132300 300.364
132400 303.03
132500 298.537
132600 299.21
132700 301.758
132800 298.595
132900 300.135
133000 298.583
133100 302.865
133200 301.342
133300 298.929
133400 303.259
133500 298.51
133600 302.835
133700 300.891
133800 300.035
133900 300.901
134000 300.161
134100 302.182
134200 299.889
134300 299.799
134400 298.365
134500 300.286
134600 303.574
134700 297.121
134800 303.219
134900 299.116
135000 299.558
135100 299.495
135200 300.063
135300 300.604
135400 302.254
135500 297.121
135600 303.133
135700 302.931
135800 300.61
135900 301.281
136000 298.849
136100 299.907
136200 298.848
136300 301.998
136400 298.572
136500 302.009
136600 297.035
136700 301.627
136800 298.237
136900 303.478
137000 298.228
137100 301.648
137200 301.96
137300 298.483
137400 302.577
137500 300.633
137600 300.714
137700 299.905
137800 299.061
137900 300.638
138000 302.647
138100 298.591
138200 301.194
138300 299.045
138400 302.045
138500 300.239
138600 298.561
138700 301.83
138800 299.802
138900 300.533
139000 301.03
139100 298.291
139200 300.878
139300 301.738
139400 298.809
139500 298.417
139600 301.137
139700 300.257
139800 298.424
139900 301.097
140000 300.294
140100 300.395
140200 300.803
140300 298.105
140400 300.125
140500 300.911
140600 302.413
140700 296.856
140800 300.427
140900 301.814
141000 299.034
141100 299.859
141200 297.914
141300 300.091
141400 302.42
141500 300.847
141600 300.639
141700 299.546
141800 300.643
141900 301.591
142000 300.311
142100 299.422
142200 300.055
142300 300.124
142400 302.059
142500 301.158
142600 301.496
142700 299.072
142800 301.475
142900 300.758
143000 298.633
143100 301.104
143200 299.73
143300 299.714
143400 300.508
143500 301.669
143600 298.631
143700 300.703
143800 301.766
143900 298.949
144000 301.157
144100 303.557
144200 297.663
144300 300.999
144400 298.75
144500 304.705
144600 297.808
144700 300.978
144800 300.993
144900 301.327
145000 300.194
145100 301.713
145200 301.244
145300 300.331
145400 302.808
145500 296.773
145600 299.99
145700 300.023
145800 299.279
145900 301.58
146000 301.929
146100 300.116
146200 300.123
146300 299.681
146400 298.274
146500 302.465
146600 301.309
146700 301.277
146800 301.329
146900 297.829
147000 302.252
147100 300.997
147200 297.648
147300 302.035
147400 298.718
147500 299.809
147600 300.673
147700 298.759
147800 312.074
147900 316.532
148000 309.715
148100 311.821
148200 305.196
148300 308.935
148400 305.146
148500 300.303
148600 302.28
148700 303.102
148800 301.496
148900 300.693
149000 301.003
149100 302.531
149200 299.567
149300 300.105
149400 298.263
149500 299.361
149600 303.888
149700 299.115
149800 300.573
149900 297.547
150000 302.002
150100 298.29
150200 305.405
150300 300.576
150400 303.153
150500 298.764
150600 300.864
150700 300.949
150800 299.815
150900 300.226
151000 298.38
151100 298.104
151200 298.824
151300 302.551
151400 299.236
151500 300.194
151600 302.497
151700 299.263
151800 300.106
151900 300.979
152000 300.655
152100 300.69
152200 301.667
152300 300.22
152400 301.075
152500 301.813
152600 301.061
152700 299.405
152800 300.01
152900 301.813
153000 298.988
153100 299.845
153200 301.882
153300 297.997
153400 301.213
153500 299.664
153600 301.08
153700 304.569
153800 298.037
153900 301.451
154000 299.808
154100 300.254
154200 298.165
154300 301.048
154400 300.843
154500 300.371
154600 298.613
154700 299.49
154800 302.237
154900 300.544
155000 299.807
155100 302.508
155200 303.453
155300 299.564
155400 298.294
155500 302.256
155600 300.491
155700 296.125
155800 300.164
155900 301.811
156000 301.449
156100 297.988
156200 303.453
156300 301.096
156400 301.545
156500 299.848
156600 299.874
156700 299.159
156800 301.11
156900 301.957
157000 296.263
157100 301.36
157200 301.192
157300 299.024
157400 305.295
157500 306.846
157600 307.637
157700 304.622
157800 302.68
157900 302.197
158000 302.061
158100 301.622
158200 300.453
158300 300.954
158400 302.284
158500 300.881
158600 303.285
158700 299.149
158800 299.932
158900 299.842
159000 302.991
159100 302.382
159200 299.723
159300 300.402
159400 298.368
159500 301.776
159600 301.223
159700 301.264
159800 297.829
159900 302.698
160000 301.881
160100 302.386
160200 298.251
160300 301.254
160400 299.147
160500 300.661
160600 302.067
160700 300.988
160800 298.943
160900 300.917
161000 300.606
161100 300.994
161200 301.558
161300 298.662
161400 299.18
161500 302.98
161600 299.331
161700 299.2
161800 301.094
161900 301.001
162000 300.437
162100 299.394
162200 299.435
162300 302.539
162400 297.42
162500 300.327
162600 301.545
162700 300.47
162800 298.859
162900 303.016
163000 300.504
163100 297.38
163200 303.804
163300 299.128
163400 299.245
163500 300.418
163600 303.831
163700 301.277
163800 301.841
163900 303.192
164000 301
164100 297.342
164200 297.889
164300 302.323
164400 320.594
164500 314.609
164600 313.443
164700 311.623
164800 304.92
164900 306.04
165000 305.293
165100 302.969
165200 304.96
165300 303.317
165400 303.362
165500 303.89
165600 301.915
165700 301.317
165800 299.472
165900 303.542
166000 299.299
166100 301.938
166200 302.211
166300 298.818
166400 300.172
166500 300.139
166600 300.524
166700 298.157
166800 302.78
166900 302.914
167000 301.764
167100 299.991
167200 301.194
167300 302.636
167400 301.398
167500 303.404
167600 301.729
167700 301.088
167800 301.243
167900 300.339
168000 301
168100 301.297
168200 301.114
168300 300.571
168400 304.779
168500 296.945
168600 299.934
168700 300.037
168800 301.05
168900 301.632
169000 303.148
169100 298.151
169200 300.073
169300 304.285
169400 299.998
169500 297.837
169600 299.292
169700 300.344
169800 301.806
169900 299.419
170000 299.362
170100 302.243
170200 300.123
170300 300.496
170400 298.833
170500 301.878
170600 302.455
170700 299.068
170800 302.135
170900 300.8
171000 300.458
171100 301.557
171200 302.981
171300 303.745
171400 304.045
171500 302.037
171600 302.065
171700 300.642
171800 303.765
171900 304.207
172000 298.765
172100 302.931
172200 300.95
172300 304.7
172400 301.806
172500 300.567
172600 304.845
172700 301.839
172800 303.215
172900 300.219
173000 301.823
173100 297.761
173200 302.188
173300 298.988
173400 301.981
173500 302.134
173600 302.359
173700 299.343
173800 302.263
173900 297.562
174000 301.597
174100 300.402
174200 301.98
174300 300.292
174400 302.597
174500 299.478
174600 300.376
174700 301.319
174800 300.526
174900 301.036
175000 303.763
175100 301.109
175200 301.851
175300 300.927
175400 299.447
175500 298.827
175600 301.297
175700 303.221
175800 302.537
175900 301.25
176000 299.537
176100 303.526
176200 298.239
176300 304.492
176400 298.309
176500 302.16
176600 301.341
176700 301.112
176800 302.026
176900 296.953
177000 302.599
177100 300.15
177200 300.573
177300 303.769
177400 302.22
177500 299.916
177600 300.933
177700 299.156
177800 300.613
177900 301.01
178000 302.739
178100 298.778
178200 303.374
178300 321.637
178400 328.391
178500 319.702
178600 314.99
178700 312.59
178800 308.871
178900 309.553
179000 304.23
179100 306.696
179200 304.33
179300 302.099
179400 305.796
179500 303.444
179600 303.091
179700 301.457
179800 301.368
179900 301.332
180000 305.854
180100 303.418
180200 302.879
180300 299.7
180400 304.356
180500 300.728
180600 300.141
180700 303.333
180800 301.162
180900 301.58
181000 302.7
181100 301.735
181200 302.362
181300 300.716
181400 302.489
181500 299.842
181600 303.247
181700 304.51
181800 302.353
181900 303.121
182000 301.203
182100 302.825
182200 303.464
182300 300.711
182400 301.343
182500 304.426
182600 301.576
182700 304.348
182800 300.332
182900 302.066
183000 304.126
183100 301.017
183200 302.213
183300 303.304
183400 300.401
183500 301.918
183600 303.156
183700 299.639
183800 302.512
183900 303.829
184000 300.952
184100 302.296
184200 302.48
184300 302.358
184400 300.617
184500 300.475
184600 299.638
184700 301.979
184800 302.49
184900 302.12
185000 300.05
185100 299.518
185200 300.455
185300 300.834
185400 300.249
185500 300.365
185600 305.841
185700 302.19
185800 300.551
185900 302.118
186000 297.207
186100 302.549
186200 301.328
186300 302.311
186400 300.599
186500 301.806
186600 304.671
186700 301.611
186800 305.743
186900 301.544
187000 298.408
187100 302.509
187200 302.195
187300 303.486
187400 301.86
187500 302.533
187600 303.113
187700 302.175
187800 301.853
187900 300.403
188000 298.857
188100 303.991
188200 302.721
188300 302.245
188400 302.433
188500 305.174
188600 306.472
188700 301.949
188800 299.82
188900 301.408
189000 303.889
189100 307.305
189200 321.425
189300 318.878
189400 318.213
189500 309.79
189600 309.248
189700 327.317
189800 325.756
189900 317.378
190000 314.726
190100 310.529
190200 311.083
190300 309.261
190400 307.524
190500 304.443
190600 301.692
190700 304.664
190800 300.57
190900 302.554
191000 304.166
191100 301.087
191200 300.657
191300 300.766
191400 302.8
