# Time-averaged data for fix solvated_PEG_ave_temp
# TimeStep v_solvated_PEG_temp
26800 297.726
26900 298.96
27000 298.47
27100 298.605
27200 302.973
27300 303.981
27400 297.04
27500 298.393
27600 296.942
27700 295.293
27800 300.268
27900 303.559
28000 304.171
28100 301.828
28200 298.17
28300 291.929
28400 294.185
28500 304.11
28600 303.912
28700 299.554
28800 300.34
28900 303.174
29000 303.642
29100 298.388
29200 295.217
29300 298.192
29400 304.691
29500 305.654
29600 304.501
29700 301.549
29800 297.004
29900 299.13
30000 303.54
30100 302.346
30200 300.229
30300 299.267
30400 300.176
30500 298.703
30600 297.271
30700 296.21
30800 302.162
30900 305.104
31000 300.682
31100 301.184
31200 301.57
31300 295.345
31400 295.639
31500 297.063
31600 301.772
31700 305.675
31800 303.973
31900 303.772
32000 299.204
32100 298.639
32200 293.42
32300 291.282
32400 299.663
32500 303.376
32600 303.515
32700 303.418
32800 294.429
32900 300.383
33000 305.341
33100 299.021
33200 295.689
33300 290.714
33400 295.774
33500 301.113
33600 298.446
33700 298.454
33800 296.144
33900 305.147
34000 303.082
34100 299.446
34200 298.482
34300 299.969
34400 297.955
34500 301.777
34600 304.082
34700 299.14
34800 301.627
34900 301.282
35000 298.303
35100 299.169
35200 298.295
35300 302.859
35400 303.45
35500 296.909
35600 294.269
35700 296.956
35800 303.566
35900 302.832
36000 304.522
36100 302.826
36200 297.985
36300 297.638
36400 310.129
36500 302.588
36600 301.223
36700 298.241
36800 299.617
36900 304.536
37000 305.344
37100 294.607
37200 297.575
37300 303.795
37400 302.874
37500 294.434
37600 293.006
37700 299.982
37800 300.209
37900 305.494
38000 297.936
38100 296.227
38200 300.37
38300 300.847
38400 297.527
38500 301.997
38600 299.818
38700 292.913
38800 294.358
38900 296.055
39000 300.918
39100 300.669
39200 298.843
39300 296.589
39400 296.802
39500 300.516
39600 304.06
39700 304.844
39800 299.163
39900 295.161
40000 302.334
40100 308.112
40200 308.359
40300 303.363
40400 300.106
40500 300.853
40600 301.681
40700 302.636
40800 304.402
40900 301.958
41000 299.508
41100 298.962
41200 300.687
41300 302.333
41400 303.062
41500 305.054
41600 297.508
41700 298.016
41800 300.033
41900 300.561
42000 305.36
42100 304.163
42200 300.063
42300 297.571
42400 296.593
42500 300.961
42600 309.367
42700 304.305
42800 299.703
42900 295.991
43000 300.855
43100 301.758
43200 296.066
43300 293.258
43400 301.513
43500 302.527
43600 301.467
43700 294.903
43800 297.707
43900 296.746
44000 297.113
44100 304.839
44200 302.888
44300 297.729
44400 298.642
44500 295.726
44600 301.333
44700 301.502
44800 303.399
44900 308.6
45000 300.952
45100 300.576
45200 298.979
45300 296.56
45400 299.258
45500 303.584
45600 304.2
45700 299.9
45800 298.383
45900 304.6
46000 299.939
46100 295.565
46200 299.844
46300 301.314
46400 303.828
46500 301.257
46600 294.31
46700 296.759
46800 298.497
46900 303.199
47000 303.774
47100 299.014
47200 298.998
47300 298.857
47400 298.467
47500 306.98
47600 300.683
47700 302.239
47800 300.082
47900 294.481
48000 299.504
48100 299.897
48200 299.997
48300 304.727
48400 303.12
48500 298.521
48600 294.313
48700 304.368
48800 303.87
48900 298.426
49000 298.247
49100 299.986
49200 304.74
49300 306.905
49400 301.65
49500 298.111
49600 295.671
49700 296.879
49800 300.615
49900 303.12
50000 304.2
50100 296.815
50200 293.999
50300 295.049
50400 290.866
50500 296.33
50600 298.871
50700 299.13
50800 302.922
50900 305.465
51000 297.984
51100 296.473
51200 297.607
51300 301.4
51400 303.32
51500 301.59
51600 302.682
51700 298.912
51800 296.33
51900 296.601
52000 295.628
52100 299.602
52200 303.472
52300 303.902
