# Time-averaged data for fix ave_time_2
# TimeStep f_carbon_top_force[1] f_carbon_bottom_force[1]
18400 -0.416488 -0.763516
18500 -0.0707129 2.40164
18600 -0.479008 0.166495
18700 -0.479621 -0.0250861
18800 -0.55973 0.171637
18900 -1.42437 0.806443
19000 1.11637 -0.903352
19100 1.06564 0.33023
19200 -0.986457 -0.815671
19300 -0.637188 -1.4022
19400 0.448253 -0.336362
19500 1.04473 0.976411
19600 0.394574 -0.243443
19700 1.17018 1.18161
19800 -0.737281 -0.366571
19900 -0.167957 0.249841
20000 0.115786 0.643091
20100 -1.34743 0.324811
20200 -0.422852 1.39796
20300 1.5185 0.461593
20400 -1.05129 -0.182432
20500 -1.82937 0.443882
20600 0.449963 -0.0297854
20700 2.47118 -0.162228
20800 2.10286 0.550051
20900 -0.814458 -0.0694707
21000 -1.80893 -1.28109
21100 1.10434 -1.28534
21200 -1.0565 0.473399
21300 -0.147962 0.105286
21400 -0.951567 1.43971
21500 0.671608 -0.115874
21600 0.301951 -0.0234079
21700 -0.6003 0.0783052
21800 -1.59939 -0.801211
21900 -1.11317 0.489084
22000 0.25923 1.54139
22100 0.311476 -0.468479
22200 -0.105678 -1.07765
22300 -0.125381 -1.0599
22400 -1.00784 -0.266139
22500 1.75776 0.117733
22600 0.771064 -0.145379
22700 0.0570525 1.15708
22800 -0.254778 0.340067
22900 -0.497158 -0.964078
23000 -0.213672 -0.131433
23100 0.528359 1.16295
23200 0.829417 0.185439
23300 -0.424566 0.763021
23400 -2.3725 1.11982
23500 -1.42116 0.0909973
23600 1.17304 0.572096
23700 1.01877 0.758444
23800 2.00086 0.225078
23900 0.0707658 -1.22603
24000 0.211496 -0.389013
24100 -0.69032 -1.13808
24200 -0.691394 -0.364427
24300 0.330622 2.00572
24400 -0.524796 -0.450945
24500 -0.198284 -0.798725
24600 0.0814502 0.142418
24700 0.426465 -0.0905331
24800 -1.92885 1.6834
24900 -1.57821 0.527737
25000 1.46443 0.0208864
25100 0.992949 -0.78278
25200 -2.41366 -1.16649
25300 -2.57295 -1.10163
25400 1.73758 0.192482
25500 2.25501 0.554051
25600 0.434829 1.03771
25700 -1.33051 0.301809
25800 -0.289221 0.028747
25900 1.35917 -1.60064
26000 -0.123369 -0.292786
26100 -0.18211 0.810673
26200 -1.03742 1.75366
26300 -0.141712 0.0142514
26400 -0.865697 -1.17895
26500 -0.884844 1.09873
26600 0.732347 1.3701
26700 2.11237 0.96106
26800 -0.157598 0.396843
26900 0.00452835 1.11966
27000 -0.384263 -1.44615
27100 0.226728 -1.57169
27200 -0.376699 -0.813073
27300 0.500856 0.645069
27400 0.773448 0.216537
27500 -0.784167 -1.17835
27600 0.0386227 1.11023
27700 -0.95779 2.10187
27800 -0.629117 -0.149834
27900 0.477098 -0.0447266
28000 0.0880748 -0.648765
28100 -1.40268 -0.172825
28200 -1.33686 0.207696
28300 -1.1102 -1.35489
28400 -0.184257 0.935305
28500 1.43344 0.619503
28600 0.899836 -1.04311
28700 0.749527 -0.20677
28800 -0.0566593 0.0422643
28900 -0.188796 -0.0856707
29000 0.279077 -0.673852
29100 -0.909454 0.787921
29200 -1.34493 -0.319232
29300 -0.0115821 -0.0255742
29400 -0.0998264 0.402787
29500 0.295379 0.930877
29600 0.189974 1.35576
29700 -0.415942 1.1435
29800 -0.138107 0.830926
29900 0.117951 0.460009
30000 -0.326552 -1.1334
30100 1.66729 -1.34254
