# Time-averaged data for fix solvated_PEG_ave_temp
# TimeStep v_solvated_PEG_temp
33900 300.145
34000 297.856
34100 295.903
34200 301.757
34300 300.105
34400 305.236
34500 298.276
34600 298.214
34700 299.482
34800 298.933
34900 302.389
35000 304.091
35100 300.924
35200 297.487
35300 292.205
35400 294.62
35500 302.649
35600 301.168
35700 299.484
35800 297.628
35900 299.658
36000 301.535
36100 302.886
36200 307.232
36300 301.93
36400 300.513
36500 297.442
36600 295.694
36700 301.304
36800 304.008
36900 302.777
37000 299.101
37100 296.432
37200 300.421
37300 303.601
37400 302.663
37500 300.328
37600 302.243
37700 294.712
37800 294.911
37900 298.844
38000 303.216
38100 303.922
38200 296.398
38300 298.867
38400 300.796
38500 302.849
38600 306.78
38700 301.945
38800 297.55
38900 299.65
39000 301.347
39100 302.074
39200 302.022
39300 296.937
39400 299.474
39500 302.617
39600 303.795
39700 301.045
39800 297.612
39900 300.105
40000 297.898
40100 298.13
40200 300.799
40300 300.044
40400 302.388
40500 305.702
40600 297.521
40700 296.663
40800 300.285
40900 300.626
41000 301.106
41100 308.108
41200 303.035
41300 297.2
41400 300.191
41500 301.615
41600 298.164
41700 298.401
41800 297.784
41900 299.721
42000 302.532
42100 305.235
42200 303.614
42300 298.985
42400 299.558
42500 300.463
42600 299.801
42700 300.352
42800 298.504
42900 303.156
43000 304.405
43100 301.776
43200 296.763
43300 296.193
43400 302.929
43500 300.42
43600 300.693
43700 298.165
43800 296.829
43900 299.517
44000 300.155
44100 301.173
44200 300.667
44300 302.378
44400 299.125
44500 297.554
44600 304.21
44700 308.621
44800 304.939
44900 300.563
45000 297.593
45100 296.015
45200 301.896
45300 299.958
45400 304.02
45500 300.383
45600 298.914
45700 297.941
45800 302.585
45900 302.404
46000 305.072
46100 302.483
46200 299.963
46300 296.593
46400 297.741
46500 302.002
46600 305.014
46700 299.854
46800 295.657
46900 298.72
47000 300.933
47100 300.902
47200 306.646
47300 298.922
47400 299.677
47500 297.289
47600 302.315
47700 302.194
47800 304.87
47900 303.51
48000 301.191
48100 296.03
48200 298.922
48300 305.905
48400 301.653
48500 294.197
48600 295.166
48700 302.261
48800 301.105
48900 297.923
49000 300.948
49100 303.873
49200 303.469
